CURRENT_ALLOCATION,FISCAL_PERIOD_NAME,FUND_CATEGORY,FUND_NAME,LEDGER_NAME,PARENT_FUND
31.46,GW 2015/2016,Allocated,10330158611STO,gwmvc2016,10330158611STOAlloc
0,GW 2015/2016,Allocated,10330158611STOPostage,gwmvc2016,10330158611STOAlloc
565.52,GW 2015/2016,Allocated,10330158611Periodicals,gwmvc2016,10330158611Subscriptions
0,GW 2015/2016,Allocated,10330158611Replacement,gwmvc2016,10330158611Replacement
-127.48,GW 2015/2016,Allocated,10330158611EMBAsuballoc,gwnvc2016,10330158611General
0,GW 2015/2016,Allocated,10330158611Refrsuballoc,gwnvc2016,10330158611General
0,GW 2015/2016,Allocated,10330158611Staffsuballoc,gwnvc2016,10330158611General
4931.88,GW 2015/2016,Allocated,10330158611HRDXsuball,gwnvc2016,10330158611General
0,GW 2015/2016,Allocated,10330158611MISXsuballoc,gwnvc2016,10330158611General
0,GW 2015/2016,Allocated,10330158611Civilsuballoc,gwnvc2016,10330158611SEAS
0,GW 2015/2016,Allocated,10330158611EMGTsuballoc,gwnvc2016,10330158611SEAS
0,GW 2015/2016,Allocated,10330158611Mechsuballoc,gwnvc2016,10330158611SEAS
50,GW 2015/2016,Allocated,10330158611TCOMsuballoc,gwnvc2016,10330158611SEAS
28.95,GW 2015/2016,Allocated,10330158611EMBAfirm,gwnvc2016,10330158611General
480.08,GW 2015/2016,Allocated,10330158611HRDXfirm,gwnvc2016,10330158611General
184.48,GW 2015/2016,Allocated,10330158611MISXfirm,gwnvc2016,10330158611General
100,GW 2015/2016,Allocated,10330158611Refrfirm,gwnvc2016,10330158611General
287.48,GW 2015/2016,Allocated,10330158611Stafffirm,gwnvc2016,10330158611General
9.71,GW 2015/2016,Allocated,10330158611Civilfirm,gwnvc2016,10330158611SEAS
11.16,GW 2015/2016,Allocated,10330158611Electricalfirm,gwnvc2016,10330158611SEAS
384.92,GW 2015/2016,Allocated,10330158611EMGTfirm,gwnvc2016,10330158611SEAS
200,GW 2015/2016,Allocated,10330158611Mechanicalfirm,gwnvc2016,10330158611SEAS
379.16,GW 2015/2016,Allocated,10330158611TCOMfirm,gwnvc2016,10330158611SEAS
7991,GW 2015/2016,Allocated,10330152232Electronics,gwmvc2016,10330158611Subscriptions
2090.83,GW 2015/2016,Allocated,10330158611Firms,gwmvc2016,10330158611Monographs
13054.19,GW 2015/2016,Allocated,10330158611WomLead/intDes,gwgel2016103301 Collections,10330158611WomLead/intDes
12500,GW 2015/2016,Allocated,10330152211ArchivesSpaceM,gwgel2016103301 Collections,10330152211ArchivesSpaceM
3847.72,GW 2015/2016,Allocated,10320658611Postage,gwgel2016103206 Gelman Endowment,10320658611Global Resour
2941.55,GW 2015/2016,Allocated,10330158611DDAGshedAppv,gwgel2016103301 Collections,10330158611Approvals/DDA
8648.97,GW 2015/2016,Allocated,10330158611DDAEngxAppv,gwgel2016103301 Collections,10330158611Approvals/DDA
441.69,GW 2015/2016,Allocated,10330158611GshedSTLAppv,gwgel2016103301 Collections,10330158611Approvals/DDA
731.63,GW 2015/2016,Allocated,10330158611EngxSTLAppv,gwgel2016103301 Collections,10330158611Approvals/DDA
3866.46,GW 2015/2016,Allocated,10320458611GSHED,gwgel2016103204 General Endowment,10320458611GSHED
22484.31,GW 2015/2016,Allocated,10320458611CPS,gwgel2016103204 General Endowment,10320458611CPS
13360.56,GW 2015/2016,Allocated,10321158611ArteMonoEbling,gwgel2016103211 Ebling Endowment,R10321158611
0,GW 2015/2016,Allocated,10321158611ArteSubsEbling,gwgel2016103211 Ebling Endowment,R10321158611
627,GW 2015/2016,Allocated,10321058611SpecColl,gwgel2016103210 Mason Endowment,10321058611SpecColl
48.18,GW 2015/2016,Allocated,10321058611SlavLang,gwgel2016103210 Mason Endowment,10321058611SlavicLang
0,GW 2015/2016,Allocated,10321058611EastAsianLang,gwgel2016103210 Mason Endowment,10321058611EastAsianLang
1607.32,GW 2015/2016,Allocated,10321058611SocSci 1,gwgel2016103210 Mason Endowment,10321058611SocScience
0,GW 2015/2016,Allocated,EMBA,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,HRD/HEAP,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,MIS,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Reference,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Staff,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Transportation,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Civil,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Electrical,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,EMGT,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,TCOM,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Mechanical,gwnvc2016,Gifts
216.65,GW 2015/2016,Allocated,10330158611Postage,gwnvc2016,10330158611Postage
9,GW 2015/2016,Allocated,10330158611Transsuballoc,gwnvc2016,10330158611SEAS
30.48,GW 2015/2016,Allocated,10330158611Transportfirm,gwnvc2016,10330158611SEAS
-6958.05,GW 2015/2016,Allocated,10330152232Electronicsub,gwnvc2016,10330152232Electronicsub
183.85,GW 2015/2016,Allocated,10330158611HEAPfirm,gwnvc2016,10330158611General
146.15,GW 2015/2016,Allocated,10330158611Genlfirm,gwnvc2016,10330158611General
1103,GW 2015/2016,Allocated,10330158611HEAPsuballoc,gwnvc2016,10330158611General
-459.58,GW 2015/2016,Allocated,10330158611Genlsuballoc,gwnvc2016,10330158611General
0,GW 2015/2016,Allocated,10330158611FCCCMembership,gwnvc2016,10330158611FCCCMembership
635.73,GW 2015/2016,Allocated,10321058611Engineering,gwgel2016103210 Mason Endowment,10321058611SciEng
418.29,GW 2015/2016,Allocated,10321058611LifeSciences,gwgel2016103210 Mason Endowment,10321058611SciEng
1824.28,GW 2015/2016,Allocated,10321058611PhysicalScienc,gwgel2016103210 Mason Endowment,10321058611SciEng
197.76,GW 2015/2016,Allocated,10321058611KievJudaica,gwgel2016103210 Mason Endowment,10321058611KievJudaica
8111,GW 2015/2016,Allocated,10321058611Labor,gwgel2016103210 Mason Endowment,10321058611Labor
445.51,GW 2015/2016,Allocated,10321058611Energy,gwgel2016103210 Mason Endowment,10321058611SciEng
600.89,GW 2015/2016,Allocated,10321058611Refrrpt,gwgel2016103210 Mason Endowment,10321058611Reference
162.84,GW 2015/2016,Allocated,10321058611Business,gwgel2016103210 Mason Endowment,10321058611Business
21232.82,GW 2015/2016,Allocated,10321058611GSHED,gwgel2016103210 Mason Endowment,10321058611GSHED
143.42,GW 2015/2016,Allocated,10321058611Engineering,gwgel2016103210 Mason Endowment,10321058611DemandDriveAcq
60.54,GW 2015/2016,Allocated,10330158611HRDXStoAlloc,gwnvc2016,10330158611HRDX
0,GW 2015/2016,Allocated,10330158611FCCC,gwnvc2016,10330158611General
384.12,GW 2015/2016,Allocated,10330158611RSCHfirm,gwnvc2016,10330158611General
92.25,GW 2015/2016,Allocated,10330158611Bestfirm,gwnvc2016,10330158611SEAS
0,GW 2015/2016,Allocated,10330158611BESTsuballoc,gwnvc2016,10330158611SEAS
-18,GW 2015/2016,Allocated,10330158611RSCHsubsalloc,gwnvc2016,10330158611General
0,GW 2015/2016,Allocated,10330152232TCOMsuballoc,gwnvc2016,10330158611SEAS
4143.35,GW 2015/2016,Allocated,10330158611appvpostage,gwgel2016103301 Collections,10330158611Postage
4043.74,GW 2015/2016,Allocated,10330158611firmpostage,gwgel2016103301 Collections,10330158611Postage
20212.55,GW 2015/2016,Allocated,10330158611subservices,gwgel2016103301 Collections,10330158611Postage
2624.49,GW 2015/2016,Allocated,10330158611subspostage,gwgel2016103301 Collections,10330158611Postage
291534.65,GW 2015/2016,Allocated,10330158611Approvals,gwgel2016103301 Collections,10330158611Approvals/DDA
51318.18,GW 2015/2016,Allocated,10330158611Misc,gwgel2016103301 Collections,10330158611Misc
69.95,GW 2015/2016,Allocated,10330158611Business,gwgel2016103301 Collections,10330158611Business
0,GW 2015/2016,Allocated,10330158611Humanities 1,gwgel2016103301 Collections,10330158611Humanities  
0,GW 2015/2016,Allocated,10330158611IntRelations,gwgel2016103301 Collections,10330158611IntRelations
40,GW 2015/2016,Allocated,10321058611GSHED,gwgel2016103210 Mason Endowment,10321058611DemandDriveAcq
1420.48,GW 2015/2016,Allocated,10321058611ShortTerm LDDA,gwgel2016103210 Mason Endowment,10321058611DemandDriveAcq
290.5,GW 2015/2016,Allocated,10321058611Humn 3,gwgel2016103210 Mason Endowment,10321058611Humn 
0,GW 2015/2016,Allocated,10322258611Agrc,gwgel2016103222 Global Resources,10322258611xGrc
1598.45,GW 2015/2016,Allocated,10322258611XCdc,gwgel2016103222 Global Resources,10322258611xGrc
3100,GW 2015/2016,Allocated,10322258611XJrc,gwgel2016103222 Global Resources,10322258611xGrc
0,GW 2015/2016,Allocated,10322258611XTrc,gwgel2016103222 Global Resources,10322258611xGrc
2508.81,GW 2015/2016,Allocated,10322258611Asia,gwgel2016103222 Global Resources,10322258611xGrc
1752.81,GW 2015/2016,Allocated,10322258611Sees,gwgel2016103222 Global Resources,10322258611xGrc
0,GW 2015/2016,Allocated,10322258611Seef,gwgel2016103222 Global Resources,10322258611xGrc
0,GW 2015/2016,Allocated,10322258611Seec,gwgel2016103222 Global Resources,10322258611xGrc
0,GW 2015/2016,Allocated,10330158611Engineering,gwgel2016103301 Collections,10330158611SciEng
0,GW 2015/2016,Allocated,10330158611Reference,gwgel2016103301 Collections,10330158611Reference
0,GW 2015/2016,Allocated,10330158611SlavicLangLit,gwgel2016103301 Collections,10330158611SlavicLangLit
82.97,GW 2015/2016,Allocated,10330158611SocSci 1,gwgel2016103301 Collections,10330158611SocSci /Gshed
1506.47,GW 2015/2016,Allocated,10330158611GSHED,gwgel2016103301 Collections,10330158611SocSci /Gshed
0,GW 2015/2016,Allocated,10330158611Fclt,gwgel2016103301 Collections,10330158611SpecCollection
43.95,GW 2015/2016,Allocated,10330158611Humanities 2,gwgel2016103301 Collections,10330158611Humanities  
0,GW 2015/2016,Allocated,10330158611Humanities 3,gwgel2016103301 Collections,10330158611Humanities  
1425579.25,GW 2015/2016,Allocated,10330158611PaperSubs,gwgel2016103301 Collections,103301Subscriptions
1550.31,GW 2015/2016,Allocated,10322258611Apostage,gwgel2016103222 Global Resources,10322258611xGrc
1.71,GW 2015/2016,Allocated,10320658611Asia,gwgel2016103222 Global Resources,10320658611Asia
2862.55,GW 2015/2016,Allocated,10322258611Mena,gwgel2016103222 Global Resources,10322258611xGrc
0,GW 2015/2016,Allocated,1032222TitleVIME-Primary,gwgel2016103222 Global Resources,1032222TitleVIMena
33,GW 2015/2016,Allocated,10322252232TECRO,gwgel2016103222 Global Resources,10322252232aTecro
23.87,GW 2015/2016,Allocated,10320458611Mest,gwgel2016103222 Global Resources,10320458611Mest
2050.95,GW 2015/2016,Allocated,10322252232OnLineSubs,gwgel2016103222 Global Resources,10322258611xGrc
8469.47,GW 2015/2016,Allocated,10322258611GRC/TRC Wang E,gwgel2016103222 Global Resources,10322258611bGRC/TRC Wang 
53684.75,GW 2015/2016,Allocated,10322252232GRC/TRC Wang E,gwgel2016103222 Global Resources,10322258611bGRC/TRC Wang 
1193.9,GW 2015/2016,Allocated,10322252232GRC/TRC Gener,gwgel2016103222 Global Resources,10322258611cGRC/TRC Gener
8188.55,GW 2015/2016,Allocated,10322258611GRC/TRC Genera,gwgel2016103222 Global Resources,10322258611cGRC/TRC Gener
10106.07,GW 2015/2016,Allocated,10322252232GRC/ MenaGen,gwgel2016103222 Global Resources,10322258611dGRC/ MenaGen
10961.63,GW 2015/2016,Allocated,10322258611GRC/MenaGen,gwgel2016103222 Global Resources,10322258611dGRC/ MenaGen
0,GW 2015/2016,Allocated,10330152211IIPCMB,gwgel2016103301 Collections,10330152211IIPCMB
0,GW 2015/2016,Allocated,10330155581Archive-It,gwgel2016103301 Collections,10330155581ArcvIt
0,GW 2015/2016,Allocated,10330355581BrowZine,gwgel2016103301 Collections,10330155581BrowZine
0,GW 2015/2016,Allocated,10330155581Intota,gwgel2016103301 Collections,10330155581Intota
0,GW 2015/2016,Allocated,10322252211Membership,gwgel2016103222 Global Resources,10322258611xGrc
0,GW 2015/2016,Allocated,10321658611Damghani ,gwgel2016103222 Global Resources,10321658611Damghani 
47.78,GW 2015/2016,Allocated,10322258611Sigr,gwgel2016103222 Global Resources,10322258611SigrTwnOneTim
112,GW 2015/2016,Allocated,10322258611Confucious,gwgel2016103222 Global Resources,10322258611Confucious
4438.24,GW 2015/2016,Allocated,3690458611Subs,gwgel2016103222 Global Resources,3690458611Okinawa
0,GW 2015/2016,Allocated,3690458611Mono,gwgel2016103222 Global Resources,3690458611Okinawa
0,GW 2015/2016,Allocated,3690458611FilmsDocus,gwgel2016103222 Global Resources,3690458611Okinawa
0,GW 2015/2016,Allocated,3690458611Post/Shipping,gwgel2016103222 Global Resources,3690458611Okinawa
0,GW 2015/2016,Allocated,3690458611Promotion,gwgel2016103222 Global Resources,3690458611Okinawa
0,GW 2015/2016,Allocated,3690458611Other,gwgel2016103222 Global Resources,3690458611Okinawa
0,GW 2015/2016,Allocated,10321755581SummonUnified,gwgel2016103217 Summon,10321755581SummonUnified
0,GW 2015/2016,Allocated,10321352232SciVal,gwgel2016103213 Sci Val,10321352232SciVal
40000,GW 2015/2016,Allocated,62710758611Monographs,gwgel2016627107 Corcoran,62710758611CorcMonographs
66339.83,GW 2015/2016,Allocated,62710752232Databases,gwgel2016627107 Corcoran,62710752232CorcoDatabases
9500,GW 2015/2016,Allocated,62710758611PrintJournals,gwgel2016627107 Corcoran,62710758611CorcPrintJour
1421.94,GW 2015/2016,Allocated,62710758611Postage,gwgel2016627107 Corcoran,62710758611Postage
20400,GW 2015/2016,Allocated,62710758611ElectronicJour,gwgel2016627107 Corcoran,62710752232CorcoDatabases
1000,GW 2015/2016,Allocated,10320958611Monographs,gwgel2016103209 USIP,10320958611USIPMonographs
15759,GW 2015/2016,Allocated,10320952232 E Subs,gwgel2016103209 USIP,10320952232USIP ESubs
554.68,GW 2015/2016,Allocated,10330158611Postage,gwgel2016103209 USIP,10320958611Postage
123904.61,GW 2015/2016,Allocated,10330155581OclcEastern,gwgel2016103301 Collections,10330155581OclcEastern
3000,GW 2015/2016,Allocated,10330155581ScholarlyExcha,gwgel2016103301 Collections,10330155581ScholarlyExcha
5675.49,GW 2015/2016,Allocated,10330152211NerlMembership,gwgel2016103301 Collections,10330152211NerlMembership
275,GW 2015/2016,Allocated,10330152211CrossRef,gwgel2016103301 Collections,10330152211CrossRef
6840,GW 2015/2016,Allocated,10330152211SparcMembershi,gwgel2016103301 Collections,10330152211SparcMembershi
0,GW 2015/2016,Allocated,10330158611Spec,gwgel2016103301 Collections,10330158611SpecCollection
1190.8,GW 2015/2016,Allocated,10330155581Marcive,gwgel2016103301 Collections,10330155581Marcive
264.41,GW 2015/2016,Allocated,10322258611Trach/Kr,gwgel2016103222 Global Resources,10322258611 fGRC/Trach/Kr
45118.48,GW 2015/2016,Allocated,10322258611Mena/Kuwait,gwgel2016103222 Global Resources,10322258611eGRC/MENA/Kwt
9600,GW 2015/2016,Allocated,10330152211LOCKSSMB,gwgel2016103301 Collections,10330152211LOCKSSMB
12720.5,GW 2015/2016,Allocated,10330152211Portico,gwgel2016103301 Collections,10330152211Portico
0,GW 2015/2016,Allocated,10330158611JudaicStudies,gwgel2016103301 Collections,10330158611JudaicStudies
0,GW 2015/2016,Allocated,10330158611EastAsianLangL,gwgel2016103301 Collections,10330158611EastAsianLangL
0,GW 2015/2016,Allocated,10330158611KievJudaica,gwgel2016103301 Collections,10330158611KievJudaica
1725,GW 2015/2016,Allocated,10330152211LyrasisMB,gwgel2016103301 Collections,10330152211LyrasisMB
0,GW 2015/2016,Allocated,10330158611Humanities  4,gwgel2016103301 Collections,10330158611Humanities  
0,GW 2015/2016,Allocated,10330158611LifeSciences,gwgel2016103301 Collections,10330158611SciEng
4490,GW 2015/2016,Allocated,1032225581Hosting/Access,gwgel2016103222 Global Resources,10322258611xGrc
8415,GW 2015/2016,Allocated,37007KoreaE-Resources,gwgel2016103222 Global Resources,3700758611Korea E-Rescs
0,GW 2015/2016,Allocated,10330158611PhysicalScienc,gwgel2016103301 Collections,10330158611SciEng
16500,GW 2015/2016,Allocated,10330152232NonILLDocDel,gwgel2016103301 Collections,10330152232NonILLDocDel
0,GW 2015/2016,Allocated,10330158611WorldCatAnarpt,gwgel2016103301 Collections,10330158611WorldCatAnaly
26556.04,GW 2015/2016,Allocated,10330154112Processing,gwgel2016103301 Collections,10330154112Processing
2900,GW 2015/2016,Allocated,10330155GOBIPlus,gwgel2016103301 Collections,10330155581GOBIPlus
56409.91,GW 2015/2016,Allocated,10330155581IllDocDel,gwgel2016103301 Collections,10330155581IllDoc/CollAcc
848,GW 2015/2016,Allocated,10330158611Labor,gwgel2016103301 Collections,10330158611Labor
0,GW 2015/2016,Allocated,10330158611CollDevrpt,gwgel2016103301 Collections,10330158611CollDevelopmen
2567102.53,GW 2015/2016,Allocated,10330152232Online Subs,gwgel2016103301 Collections,103301Subscriptions
41096.82,GW 2015/2016,Allocated,10330155581Hosti/Maintena,gwgel2016103301 Collections,103301Subscriptions
23330,GW 2015/2016,Allocated,10330152211Membership,gwgel2016103301 Collections,103301Subscriptions
0,GW 2015/2016,Allocated,10330152211CRLMB,gwgel2016103301 Collections,10330152211CRLMB
0,GW 2015/2016,Allocated,10330155581LibGuide,gwgel2016103301 Collections,10330155581LibGuide
14785,GW 2015/2016,Allocated,10330155581360Manager,gwgel2016103301 Collections,10330155581360Manager
0,GW 2015/2016,Allocated,10330155581360ResourceMan,gwgel2016103301 Collections,10330155581360ResourceMan
0,GW 2015/2016,Allocated,10330152211DLFMB,gwgel2016103301 Collections,10330152211DLFMB
1678.33,GW 2015/2016,Allocated,10330158611ShortTerm LDDA,gwgel2016103301 Collections,10330158611DemandDriveAcq
2550,GW 2015/2016,Allocated,10330152211CLOCKSSMB,gwgel2016103301 Collections,10330152211CLOCKSSMB
562.2,GW 2015/2016,Allocated,10330158611DDA,gwgel2016103301 Collections,10330158611DemandDriveAcq
1858.01,GW 2015/2016,Allocated,10320658611AULmono,gwgel2016103206 Gelman Endowment,10320658611MISC (old AUL)
22485.47,GW 2015/2016,Allocated,10320658611Business,gwgel2016103206 Gelman Endowment,10320658611Business
4078.75,GW 2015/2016,Allocated,10320658611Humanities 3,gwgel2016103206 Gelman Endowment,10320658611Humanities 
9070.89,GW 2015/2016,Allocated,10320658611Humanities 1,gwgel2016103206 Gelman Endowment,10320658611Humanities 
21311.83,GW 2015/2016,Allocated,10320658611Humanities 2,gwgel2016103206 Gelman Endowment,10320658611Humanities 
1339.59,GW 2015/2016,Allocated,10320658611Engineering,gwgel2016103206 Gelman Endowment,10320658611SciEng
58181.21,GW 2015/2016,Allocated,10320658611SocSci1,gwgel2016103206 Gelman Endowment,10320658611SocScience 
13080.11,GW 2015/2016,Allocated,10320658611KievJudaica,gwgel2016103206 Gelman Endowment,10320658611KievJudaica
501.09,GW 2015/2016,Allocated,10320658611Humanities 4,gwgel2016103206 Gelman Endowment,10320658611Humanities 
4752.17,GW 2015/2016,Allocated,10320658611EastAsianLang,gwgel2016103206 Gelman Endowment,10320658611EastAsianLang
3657.91,GW 2015/2016,Allocated,10320658611SlavicLangLit,gwgel2016103206 Gelman Endowment,10320658611SlavicLangLit
8211.29,GW 2015/2016,Allocated,10320658611LifeScience,gwgel2016103206 Gelman Endowment,10320658611SciEng
13889.02,GW 2015/2016,Allocated,10320658611PhysicaScience,gwgel2016103206 Gelman Endowment,10320658611SciEng
6648.67,GW 2015/2016,Allocated,10320658611IntrRelations,gwgel2016103206 Gelman Endowment,10320658611IntrRelations
420.64,GW 2015/2016,Allocated,10320658611JudaicStudies,gwgel2016103206 Gelman Endowment,10320658611JudaicStudies
13538.37,GW 2015/2016,Allocated,10320658611Reference,gwgel2016103206 Gelman Endowment,10320658611Reference
24223,GW 2015/2016,Allocated,10320658611SeasFac,gwgel2016103206 Gelman Endowment,10320658611SeasFac
5398.65,GW 2015/2016,Allocated,10320658611Labor,gwgel2016103206 Gelman Endowment,10320658611Labormono
538.03,GW 2015/2016,Allocated,10320658611Engineering,gwgel2016103206 Gelman Endowment,10320658611DemandDriveAcq
3645.91,GW 2015/2016,Allocated,10320658611GSHED,gwgel2016103206 Gelman Endowment,10320658611GSHED
6000,GW 2015/2016,Allocated,10320658611Spec,gwgel2016103206 Gelman Endowment,10320658611Special Collec
82327.16,GW 2015/2016,Allocated,10320658611GRC,gwgel2016103206 Gelman Endowment,10320658611Global Resour
433.4,GW 2015/2016,Allocated,10320658611ShortTerm LDDA,gwgel2016103206 Gelman Endowment,10320658611DemandDriveAcq
42670.33,GW 2015/2016,Allocated,10330152232OneTime,gwgel2016103301 Collections,103301YearEnd
125.49,GW 2015/2016,Allocated,10320458611AUL,gwgel2016103204 General Endowment,10320458611AUL
964.49,GW 2015/2016,Allocated,10320458611Business,gwgel2016103204 General Endowment,10320458611Business
687.84,GW 2015/2016,Allocated,10320458611Slav,gwgel2016103204 General Endowment,10320458611Slav
5261.84,GW 2015/2016,Allocated,10320458611Humn 1,gwgel2016103204 General Endowment,10320458611Humanities
6148.86,GW 2015/2016,Allocated,10320458611Humn 2,gwgel2016103204 General Endowment,10320458611Humanities
4071.81,GW 2015/2016,Allocated,10320458611Refr,gwgel2016103204 General Endowment,10320458611Refr
25218.51,GW 2015/2016,Allocated,10320458611Engineering,gwgel2016103204 General Endowment,10320458611SciEng
18511.2,GW 2015/2016,Allocated,10320458611SocSci 1,gwgel2016103204 General Endowment,10320458611Social Science
266.32,GW 2015/2016,Allocated,10320458611GRCTractenb,gwgel2016103204 General Endowment,10320458611GRCTrachtenber
432,GW 2015/2016,Allocated,10320458611Humn 4,gwgel2016103204 General Endowment,10320458611Humanities
3691.8,GW 2015/2016,Allocated,10320458611Labor,gwgel2016103204 General Endowment,10320458611Labor
412.84,GW 2015/2016,Allocated,10320458611JudaicStudies,gwgel2016103204 General Endowment,10320458611JudaicStudies
3291.93,GW 2015/2016,Allocated,10320458611Spec,gwgel2016103204 General Endowment,10320458611Spec
12.49,GW 2015/2016,Allocated,10320458611EastAsianLangL,gwgel2016103204 General Endowment,10320458611EastAsianLangL
9999.79,GW 2015/2016,Allocated,10320458611Humn 3,gwgel2016103204 General Endowment,10320458611Humanities
987.63,GW 2015/2016,Allocated,10320458611InterRelations,gwgel2016103204 General Endowment,10320458611InterRelations
4465.62,GW 2015/2016,Allocated,10320458611LifeScience,gwgel2016103204 General Endowment,10320458611SciEng
679.3,GW 2015/2016,Allocated,10320458611PhysicalScienc,gwgel2016103204 General Endowment,10320458611SciEng
